timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1761482258406,160,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Stress Test 2-3341,text,false,,2599,0,3227,8287,http://localhost/get,0,0,0
1761482258243,327,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-4944,text,false,,2599,0,5061,8289,http://localhost/get,0,0,1
1761482258406,165,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Stress Test 2-983,text,false,,2599,0,3230,8292,http://localhost/get,0,0,0
1761482258421,191,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Stress Test 2-60,text,false,,2599,0,3249,8330,http://localhost/get,0,0,0
1761482258425,190,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-5059,text,false,,2599,0,5081,8332,http://localhost/get,0,0,0
1761482258458,159,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Stress Test 2-1122,text,false,,2599,0,3252,8333,http://localhost/get,0,0,0
1761482258413,216,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-4780,text,false,,2599,0,5088,8341,http://localhost/get,0,0,0
1761482258383,280,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-5016,text,false,,2599,0,5089,8347,http://localhost/get,0,0,2
1761482258378,285,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Stress Test 2-4127,text,false,,2599,0,3258,8347,http://localhost/get,0,0,0
1761482258246,417,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Stress Test 2-774,text,false,,2599,0,3258,8347,http://localhost/get,0,0,0
